timestamp,log_type,message,stacktrace
1.96,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
1.98,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.02,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.04,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.06,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.08,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.1,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.12,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.14,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.16,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.18,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.2,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.22,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.24,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.26,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.28,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.3,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.32,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.34,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.36,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.38,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.4,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.42,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.44,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.46,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.48,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.5,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.52,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
2.54,Exception,IndexOutOfRangeException: Index was outside the bounds of the array.,SimpleController.FixedUpdate () (at Assets/PlStream/Scripts/SimpleController.cs:92).  
